Date,Predicted_start_count,Predicted_end_count
2023-09-30,14064.47931778431,11021.074137210846
2023-10-01,14571.79761594534,11485.08572012186
2023-10-02,14415.485612511637,11858.427192807198
2023-10-03,14566.112359404564,11990.914087831974
2023-10-04,15317.604317724705,12377.251090347769
2023-10-05,16586.4605396986,13097.718732059002
2023-10-06,16810.970764160156,13994.61683088541
2023-10-07,14695.948799014091,13761.122177302836
2023-10-08,13372.239261746408,8843.568722635508
2023-10-09,13965.631846785544,9419.34764522314
2023-10-10,14118.622419893742,10354.709490954876
2023-10-11,14991.134704828262,10759.108757436275
2023-10-12,15852.149821996689,11220.096587061882
2023-10-13,16101.328117728232,11441.85737836361
2023-10-14,14491.779080152512,10303.254935145378
2023-10-15,13005.855667889118,8287.693815380335
2023-10-16,12602.25927054882,8257.03198927641
2023-10-17,12894.431505084038,8225.071908444166
2023-10-18,13410.924573898315,8238.597952365875
2023-10-19,14474.049791693687,8394.586208552122
2023-10-20,14279.944977343082,8361.572771042585
2023-10-21,12363.193226873876,7795.044503509999
2023-10-22,10451.971669733524,7127.722099334002
2023-10-23,10089.85764080286,6770.6961478889
2023-10-24,10015.344440877438,6764.620315760375
2023-10-25,10257.819507837296,6833.830275326968
2023-10-26,10698.270051002502,7148.724910259248
2023-10-27,10859.90510225296,7366.403870671988
2023-10-28,9898.873029708862,7163.1662237644205
2023-10-29,8861.019564390182,6762.855869561435
2023-10-30,8458.446465879679,6591.234856098891
2023-10-31,8417.104364573956,6810.248658418656
2023-11-01,8699.07675409317,7278.166217714549
2023-11-02,9048.314617991447,7436.509035885335
2023-11-03,9117.94865334034,7580.586395055056
2023-11-04,8411.981951981783,7281.405953377486
2023-11-05,7523.57568782568,6597.542013615371
2023-11-06,6960.953088998795,6218.685318797828
2023-11-07,6797.235337585211,6329.644789963962
2023-11-08,6849.089777708054,6623.11645153165
2023-11-09,6803.494683116674,6392.711644202472
2023-11-10,6452.621553361416,5980.033053249122
2023-11-11,5729.937617331743,5224.454702526332
2023-11-12,5049.485916465521,4579.991613537073
2023-11-13,4547.170478343964,4313.663507759571
2023-11-14,4354.985015124083,4389.442341193557
2023-11-15,4315.665837705135,4555.30529987812
2023-11-16,4049.885716944933,3941.9997342526913
2023-11-17,3664.168936520815,3342.116057112813
2023-11-18,3215.410674631596,2872.6600659638643
2023-11-19,2866.072197198868,2644.041244059801
2023-11-20,2657.179560661316,2677.4695329666138
2023-11-21,2663.804074138403,2956.3139945566654
2023-11-22,2773.252660602331,3287.145296394825
2023-11-23,2608.3606900572777,2857.410883948207
2023-11-24,2392.630328126252,2464.488779380917
2023-11-25,2176.453419655561,2194.359442770481
2023-11-26,2045.8185820579529,2122.4482281953096
2023-11-27,2029.6041191369293,2272.7023292928934
2023-11-28,2204.318781904876,2638.6434549689293
2023-11-29,2491.820181064308,3077.351168051362
2023-11-30,2447.068168707192,2911.4058882147074
2023-12-01,2317.9167888984084,2595.260797932744
2023-12-02,2157.490875594318,2273.252612262964
2023-12-03,2048.215995438397,2118.1719541549683
2023-12-04,2026.6749336346984,2157.0632399469614
2023-12-05,2187.46157605201,2390.8352479487658
2023-12-06,2435.581062294543,2690.2900934666395
2023-12-07,2348.5382221862674,2517.27817709744
2023-12-08,2104.098823927343,2078.675504624844
2023-12-09,1808.9731382727623,1642.4807996153834
2023-12-10,1590.7061315849423,1384.9542707800863
2023-12-11,1480.5113773941994,1303.7772056683898
2023-12-12,1516.9257828891275,1354.5101974010468
2023-12-13,1602.1072726100683,1431.2366092577577
2023-12-14,1482.1004793941977,1277.8031118363142
2023-12-15,1267.139958962798,993.418053135276
2023-12-16,1057.7322699055076,762.4054265469314
2023-12-17,925.9699688777328,646.8553709201516
2023-12-18,878.9724251888692,630.6161221452058
2023-12-19,931.965499803424,686.4370921812953
2023-12-20,1010.1741756647824,746.8176655992867
2023-12-21,957.3979380130768,699.1081320941449
2023-12-22,829.3504218421876,566.1840350367129
2023-12-23,703.9477839581668,455.1662899367511
2023-12-24,633.7647760119289,405.95764104276896
2023-12-25,625.0386603437364,416.084544274956
2023-12-26,690.4550651051104,474.29478248022497
2023-12-27,767.5777066387236,524.1254134122282
2023-12-28,750.5374729298055,516.1962120123208
2023-12-29,666.8577511813492,444.81403623893857
2023-12-30,582.3929479420185,378.3473774306476
2023-12-31,542.3391807507724,351.7117638029158
2024-01-01,552.2201326489449,369.2036439795047
2024-01-02,595.5847879387438,416.6410234607756
2024-01-03,608.262537162751,416.4467278383672
2024-01-04,576.9029260464013,402.2348956093192
2024-01-05,529.3162753172219,361.5265695489943
2024-01-06,493.6740417089313,326.6907438468188
2024-01-07,487.8416008837521,322.1887136362493
2024-01-08,506.39022382348776,343.2793042846024
2024-01-09,575.297474347055,393.1376706585288
2024-01-10,609.9412665870041,428.9621247127652
2024-01-11,604.308166326955,464.0776652973145
2024-01-12,573.8258164543658,466.3479144889861
2024-01-13,542.0627524629235,455.0168799962848
2024-01-14,519.1108817607164,444.1919066719711
2024-01-15,505.0695972032845,435.58499417454
2024-01-16,561.9360709525645,490.9028167389333
2024-01-17,548.5848398823291,495.5052035152912
2024-01-18,511.7930226624012,484.6861682310701
2024-01-19,468.810254920274,460.24888343364
2024-01-20,435.315491437912,436.2087465599179
2024-01-21,414.79373351484537,418.04830208048224
2024-01-22,405.5523803755641,406.44087210670114
2024-01-23,466.7763079330325,463.1349922120571
2024-01-24,462.0962989702821,470.79447381570935
2024-01-25,433.40213273093104,455.9767402037978
2024-01-26,400.8135568834841,431.5114617887885
